DISCO,CAPACIDADE_TOTAL_GB,STATUS_FISICO,SESSÕES_DETALHADAS,USO_TOTAL,STATUS_NASA
BKG-0061,2000,OK,"RD2406,0,RELEASE; RD2407,0,RELEASE; OHG150,0,RELEASE; OHG151,0,RELEASE",0,FREE
NAIC-009,2000,OK,"OHG156,0,RELEASE",0,FREE
USN-0041,4000,OK,"T2177,0,RELEASE; RV179,0,HOLD",0,BLOCK
USN-0056,4000,OK,"T2174,0,RELEASE; OHG158,0,HOLD; OHG159,0,HOLD",0,BLOCK
UVLBI+75,6000,FALHA,-,0,VAZIO
HOB+0045,6000,OK,-,0,VAZIO
UVLBI+63,6000,FALHA,-,0,VAZIO
BKG+0156,8000,OK,"RD2505,0,HOLD",0,BLOCK
UVLBI+86,8000,OK,"R11246,260,RELEASE; R41246,260,RELEASE; R41247,260,RELEASE; R11248,260,RELEASE; R41248,260,RELEASE",1300,FREE
GSFC+001,8000,OK,"T2P178,0,RELEASE; RV180,0,HOLD",0,BLOCK
HOB+0089,8000,FALHA,-,0,VAZIO
SHVL+117,8000,OK,"R11250,0,RELEASE",0,FREE
HOB+0087,8000,FALHA,-,0,VAZIO
HOB+0077,8000,OK,"T2P180,0,RELEASE",0,FREE
USN+0207,8000,OK,"R11249,0,RELEASE; R41249,0,RELEASE",0,FREE
HOB+0053,8000,OK,"T2175,0,HOLD",0,BLOCK
GSFC+004,8000,OK,"RD2403,0,RELEASE; OHG148,0,RELEASE",0,FREE
UVLBI+99,16000,FALHA,-,0,VAZIO
