DISCO,COD_SESSAO,ANO,TAMANHO_SESSAO_GB,STATUS_NASA
BKG-0061,RD2406,2024,0,RELEASE
BKG-0061,RD2407,2024,0,RELEASE
BKG-0061,OHG150,2024,0,RELEASE
BKG-0061,OHG151,2024,0,RELEASE
NAIC-009,OHG156,2024,0,RELEASE
USN-0041,T2177,2021,0,RELEASE
USN-0041,RV179,2025,0,HOLD
USN-0056,T2174,2024,0,RELEASE
USN-0056,OHG158,2025,0,HOLD
USN-0056,OHG159,2026,0,HOLD
BKG+0156,RD2505,2025,0,HOLD
UVLBI+86,R11246,2024,260,RELEASE
UVLBI+86,R41246,2024,260,RELEASE
UVLBI+86,R41247,2024,260,RELEASE
UVLBI+86,R11248,2024,260,RELEASE
UVLBI+86,R41248,2024,260,RELEASE
GSFC+001,T2P178,2024,0,RELEASE
GSFC+001,RV180,2025,0,HOLD
SHVL+117,R11250,2024,0,RELEASE
HOB+0077,T2P180,2024,0,RELEASE
USN+0207,R11249,2024,0,RELEASE
USN+0207,R41249,2024,0,RELEASE
HOB+0053,T2175,2025,0,HOLD
GSFC+004,RD2403,2024,0,RELEASE
GSFC+004,OHG148,2024,0,RELEASE
